request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_57,12391.75,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,137303.86,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,114.33,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,Pay USD 199.89 in full on 15 February 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,36332.76,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 36,332.76 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5663.65,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,663.65 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,365.66,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1292.96,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the USD 1,500 minimum protected."
request_69,507.37,affordable_with_plan,full_payment,2026-01-04:529.10,2026-01-04,stop:event_6405,"Stop the family streaming plan, then pay EUR 529.10 today. This leaves at least EUR 700 available."
request_70,49646.29,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,173855.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11233.85,affordable_with_plan,full_payment,2026-07-05:11330,,stop:event_6682,"Stop the music subscription, then pay ZAR 11,330 today. This leaves at least ZAR 12,200 available."
request_73,68851.1,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 February 2023. None of the available options keeps the INR 103,200 minimum protected."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,12279.03,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,694.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,58684.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 November 2025. None of the available options keeps the INR 82,200 minimum protected."
request_78,45332.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 October 2025. None of the available options keeps the INR 55,200 minimum protected."
request_79,300.44,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 300.44 is available today, the full amount cannot be completed safely within 90 days."
request_80,110008.68,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,345.57,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"Pay USD 1,405.20 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,6378.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,20147.78,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,323450.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_with_plan,full_payment,2025-08-03:46300,2025-08-03,reduce_to:event_8084:2360,"Reduce the online retail purchases to INR 2,360, then pay INR 46,300 today. This leaves at least INR 84,900 available."
request_87,15199.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10735.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9270662.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 12,534,700 minimum protected."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,407.58,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034,affordable_with_plan,full_payment,2025-02-05:34034,2025-02-05,reduce_to:event_8620:558.80,"Reduce the local event tickets to ZAR 558.80, then pay ZAR 34,034 today. This leaves at least ZAR 28,100 available."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,10882.86,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,72400.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 March 2026. None of the available options keeps the INR 56,500 minimum protected."
request_97,1472.8,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,7186.48,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,16475.64,affordable_with_plan,full_payment,2026-07-04:18062,,reduce_to:event_9188:525.80|reduce_to:event_9227:1065.90,"Reduce the family streaming plan to ZAR 525.80 and reduce the bakery and snacks to ZAR 1,065.90, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25084.18,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the ZAR 32,500 minimum protected."
request_101,143500,affordable_with_plan,full_payment,2025-11-03:143500,2025-11-03,stop:event_9378|reduce_to:event_9377:2660,"Stop the online backup subscription and reduce the monthly entertainment spend to INR 2,660, then pay INR 143,500 today. This leaves at least INR 187,400 available."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,7623.86,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53500,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-08,reduce_to:event_9720:1632,"Reduce the household shopping to INR 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,457.88,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2475.68,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-06-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available."
request_108,1613.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,519.22,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 May 2024. None of the available options keeps the EUR 1,700 minimum protected."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,23162.17,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 15 October 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,58111.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,14307.43,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,8457.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,840.58,affordable_with_plan,full_payment,2026-07-05:880,,reduce_to:event_10833:11|reduce_to:event_10869:20.50|reduce_to:event_10873:20.50,"Reduce the family streaming plan to EUR 11, reduce the quick-service meal to EUR 20.50 and reduce the neighbourhood restaurant to EUR 20.50, then pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,661.08,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,58294.5,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000,affordable_with_plan,full_payment,2026-04-06:7714000,2026-04-06,reduce_to:event_11086:315400,"Reduce the video streaming plan to IDR 315,400, then pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18,091,200 minimum protected."
request_124,1376.94,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. None of the available options keeps the EUR 1,600 minimum protected."
request_125,6008.09,affordable_with_plan,full_payment,2025-11-06:6468,,stop:event_11519|reduce_to:event_11582:223.30|reduce_to:event_11595:223.30,"Stop the cloud storage plan, reduce the takeaway order to ZAR 223.30 and reduce the neighbourhood restaurant to ZAR 223.30, then pay ZAR 6,468 today. This leaves at least ZAR 11,300 available."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,9071.13,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-07,reduce_to:event_11812:1058.20,"Reduce the cinema and events to ZAR 1,058.20, then pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,101.66,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,427.99,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1177.58,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,248.42,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Pay USD 379.86 in full on 15 February 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4794747.86,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,263.15,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2026. None of the available options keeps the USD 500 minimum protected.
request_136,510.69,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 560.40 request. Although USD 510.69 is available today, the full amount cannot be completed safely within 90 days."
request_137,19756.8,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,862.3,affordable_with_plan,partial_payment,2026-04-07:862.30|2026-04-15:394.64,2026-04-15,none,"Pay EUR 862.30 today and the remaining EUR 394.64 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1404.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 November 2024. None of the available options keeps the USD 1,500 minimum protected."
request_140,1428.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,20388.89,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 20,388.89 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,3012.71,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,217.93,affordable_with_plan,full_payment,2026-07-04:233.34,2026-07-04,reduce_to:event_13306:17.50,"Reduce the neighbourhood restaurant to USD 17.50, then pay USD 233.34 today. This leaves at least USD 600 available."
request_145,24592.99,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,14193.76,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,462.76,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7072.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 August 2024. None of the available options keeps the ZAR 20,000 minimum protected."
request_149,21710.01,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 January 2026. None of the available options keeps the ZAR 42,100 minimum protected."
request_150,266.99,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,11005.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,54.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,9895.08,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4658049.89,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,6738656.09,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1143235.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,9796628.29,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 26,728,700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,65886.8,affordable_with_plan,full_payment,2026-04-06:80600,2026-04-06,reduce_to:event_15169:1875,"Reduce the bakery and snacks to INR 1,875, then pay INR 80,600 today. This leaves at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,29257.14,affordable_with_plan,partial_payment,2026-01-07:29257.14|2026-02-15:20122.86,2026-02-15,none,"Pay INR 29,257.14 today and the remaining INR 20,122.86 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,30399479.16,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,27.59,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,8764.42,affordable_with_plan,partial_payment,2024-06-05:8764.42|2024-06-15:1435.58,2024-06-15,none,"Pay ZAR 8,764.42 today and the remaining ZAR 1,435.58 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,59219.46,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1054.55,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,356.91,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,8360525.7,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,260.37,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,22807947.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 June 2026. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,5835.38,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,296.66,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,4648.88,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554 in full on 15 March 2026. Paying earlier would take the balance below the ZAR 22,000 minimum."
